id|категорія|назва|виробник|ціна (грн)|наявність|посилання на фото|опис/характеристики
stairs-mtb033|Бруси та сходи|Сходи кутові з похилою рампою MTB-033|Сіверспорт|43500|В наявності|https://siversport.com/wp-content/uploads/2024/10/mtb-033.jpg|Кутові реабілітаційні сходи з рампою. Навантаження: до 180 кг. Прямі та бічні кроки. Розширена програма реабілітації.
mtv070|Інше реабілітаційне обладнання|Універсальна кабіна МТВ-070|Сіверспорт|64000|В наявності|https://siversport.com/wp-content/uploads/2025/02/mtv-070.jpg|Повноцінна реабілітаційна кабіна. МТБ + шведська стінка + підвісна терапія. Максимальна функціональність на мінімальній площі.
mtv070-1|Інше реабілітаційне обладнання|Шведська стінка для кабіни МТВ-070.1|Сіверспорт|6000|В наявності|https://siversport.com/wp-content/uploads/2025/02/kzs013shl_mtb-3-scaled.jpg|Приставка-шведська стінка для кабіни МТВ-070. Матеріал: сталь. Вправи на розтяжку та підтягування.
mtv070-2|Інше реабілітаційне обладнання|Приставка для підвісної терапії МТВ-070.2|Сіверспорт|10500|В наявності|https://siversport.com/wp-content/uploads/2024/10/mtb-016.jpg|Модуль підвісної терапії для кабіни МТВ-070. Вправи в підвісі. Для неврологічної реабілітації.
acc-handles|Аксесуари до МТБ|Ручка для тяги 46 см MTB-21|Сіверспорт|400|В наявності|https://siversport.com/wp-content/uploads/2025/02/mtb-21-scaled.jpg|Стандартна коротка ручка для тяги. Довжина: 46 см. Матеріал: сталь. Сумісно: МТБ-1, МТБ-2, МТБ-4.
acc-carabiner|Аксесуари до МТБ|Ланцюг-подовжувач з карабіном MTB-16|Сіверспорт|200|В наявності|https://siversport.com/wp-content/uploads/2025/02/mtv-16.jpg|Сталевий ланцюг-подовжувач з карабіном. Довжина: 80 см. Навантаження: до 300 кг. Матеріал: сталь.
mtb10|Аксесуари до МТБ|Манжети м'які MTB-10|Сіверспорт|800|В наявності|https://siversport.com/wp-content/uploads/2025/02/mtv-10.jpg|М'які манжети для рук та ніг. Матеріал: м'який. Для рівномірного розподілу навантаження. Універсальний розмір.
mtb11|Аксесуари до МТБ|Манжети м'які дитячі MTB-11|Сіверспорт|800|В наявності|https://siversport.com/wp-content/uploads/2025/02/mtv-11.jpg|Дитячі м'які манжети. Зменшене охоплення. Від 5 років. М'який матеріал.
mtb12|Аксесуари до МТБ|Манжети жорсткі MTB-12|Сіверспорт|1000|В наявності|https://siversport.com/wp-content/uploads/2025/02/mtv-12.jpg|Жорсткі манжети з надійним замком. Для великих навантажень. Стабільна фіксація руки або ноги.
mtb13|Аксесуари до МТБ|Сандал реабілітаційний MTB-13|Сіверспорт|800|В наявності|https://siversport.com/wp-content/uploads/2025/02/mtv-13.jpg|Безрозмірний реабілітаційний сандал. Для кріплення стопи до троса МТБ. Матеріал: нейлон.
mtb14|Аксесуари до МТБ|Сандал реабілітаційний дитячий MTB-14|Сіверспорт|800|В наявності|https://siversport.com/wp-content/uploads/2025/02/mtv-14.jpg|Дитячий реабілітаційний сандал. Для кріплення дитячої стопи до МТБ. Матеріал: нейлон.
mtb15|Аксесуари до МТБ|Петля м'яка MTB-15|Сіверспорт|140|В наявності|https://siversport.com/wp-content/uploads/2025/02/mtv-15.jpg|М'яка нейлонова петля. Нейтральний хват. Матеріал: нейлон. Альтернативні способи кріплення.
mtb17|Аксесуари до МТБ|Ручка для тяги закрита MTB-17|Сіверспорт|400|В наявності|https://siversport.com/wp-content/uploads/2025/02/kzs-401r-v1-scaled.jpg|Закрита ручка з нейтральним хватом. Матеріал: сталь + гума. Зменшує навантаження на зап'ястя та лікті.
mtb18|Аксесуари до МТБ|Ручка для тяги закрита м'яка MTB-18|Сіверспорт|400|В наявності|https://siversport.com/wp-content/uploads/2025/02/mtv-18.jpg|М'яка закрита ручка з нейлоновим покриттям. Нейтральний хват. Для початківців та людей з чутливою шкірою.
mtb19|Аксесуари до МТБ|Ручка для тяги зверху 120 см MTB-19|Сіверспорт|500|В наявності|https://siversport.com/wp-content/uploads/2025/02/kzs-404-v1-scaled.jpg|Довга пряма ручка 120 см. Широкий хват. Матеріал: сталь. Для тяги верхнього блоку.
mtb20|Аксесуари до МТБ|Ручка для тяги зверху 120 см (внутрішній хват) MTB-20|Сіверспорт|600|В наявності|https://siversport.com/wp-content/uploads/2025/02/mtv-20.jpg|Довга ручка 120 см із зворотним хватом. Матеріал: сталь. Акцент на широких м'язах спини та біцепсі.
mtb26|Аксесуари до МТБ|Ручка на трицепс MTB-26|Сіверспорт|500|В наявності|https://siversport.com/wp-content/uploads/2025/02/mtv-26-v1-scaled.jpg|Мотузкова ручка для трицепса. Матеріал: нейлон + сталь. Нейтральний хват. Свобода руху зап'ястя.
mtb27|Аксесуари до МТБ|Подовжувач м'який з карабіном MTB-27|Сіверспорт|160|В наявності|https://siversport.com/wp-content/uploads/2025/02/mtv-27.jpg|М'який нейлоновий подовжувач з карабіном. Не травмує руки. Матеріал: нейлон.
